"city","city_ibge_code","date","epidemiological_week","estimated_population","estimated_population_2019","is_last","is_repeated","last_available_confirmed","last_available_confirmed_per_100k_inhabitants","last_available_date","last_available_death_rate","last_available_deaths","order_for_place","place_type","state","new_confirmed","new_deaths"
NA,16,2020-04-08,15,861773,845731,FALSE,FALSE,107,12.41626,2020-04-08,0.0187,2,20,"state","AP",56,0
"Macapá",1600303,2020-04-09,15,512902,503327,FALSE,FALSE,97,18.91199,2020-04-09,0.0103,1,21,"city","AP",2,0
"Oiapoque",1600501,2020-04-09,15,27906,27270,FALSE,FALSE,1,3.58346,2020-04-09,0,0,6,"city","AP",0,0
"Santana",1600600,2020-04-09,15,123096,121364,FALSE,FALSE,12,9.74849,2020-04-09,0.0833,1,5,"city","AP",1,0
NA,16,2020-04-09,15,861773,845731,FALSE,FALSE,110,12.76438,2020-04-09,0.0182,2,21,"state","AP",3,0
"Macapá",1600303,2020-04-10,15,512902,503327,FALSE,FALSE,146,28.46548,2020-04-10,0.0068,1,22,"city","AP",49,0
"Oiapoque",1600501,2020-04-10,15,27906,27270,FALSE,FALSE,1,3.58346,2020-04-10,0,0,7,"city","AP",0,0
"Santana",1600600,2020-04-10,15,123096,121364,FALSE,FALSE,19,15.43511,2020-04-10,0.0526,1,6,"city","AP",7,0
NA,16,2020-04-10,15,861773,845731,FALSE,FALSE,166,19.26261,2020-04-10,0.012,2,22,"state","AP",56,0
"Macapá",1600303,2020-04-11,15,512902,503327,FALSE,FALSE,171,33.3397,2020-04-11,0.0175,3,23,"city","AP",25,2
"Oiapoque",1600501,2020-04-11,15,27906,27270,FALSE,FALSE,1,3.58346,2020-04-11,0,0,8,"city","AP",0,0
"Santana",1600600,2020-04-11,15,123096,121364,FALSE,FALSE,21,17.05986,2020-04-11,0.0952,2,7,"city","AP",2,1
NA,16,2020-04-11,15,861773,845731,FALSE,FALSE,193,22.39569,2020-04-11,0.0259,5,23,"state","AP",27,3
"Macapá",1600303,2020-04-12,16,512902,503327,FALSE,FALSE,204,39.77368,2020-04-12,0.0147,3,24,"city","AP",33,0
"Oiapoque",1600501,2020-04-12,16,27906,27270,FALSE,FALSE,2,7.16692,2020-04-12,0,0,9,"city","AP",1,0
"Santana",1600600,2020-04-12,16,123096,121364,FALSE,FALSE,31,25.1836,2020-04-12,0.0645,2,8,"city","AP",10,0
NA,16,2020-04-12,16,861773,845731,FALSE,FALSE,237,27.50144,2020-04-12,0.0211,5,24,"state","AP",44,0
"Macapá",1600303,2020-04-13,16,512902,503327,FALSE,FALSE,211,41.13846,2020-04-13,0.019,4,25,"city","AP",7,1
"Oiapoque",1600501,2020-04-13,16,27906,27270,FALSE,FALSE,2,7.16692,2020-04-13,0,0,10,"city","AP",0,0
"Santana",1600600,2020-04-13,16,123096,121364,FALSE,FALSE,31,25.1836,2020-04-13,0.0645,2,9,"city","AP",0,0
